Time,Device,B_hat,J_m,Best_Js,Target_MEC,J_d,p_L,p_U,p_0,Init_Mode,Final_Mode,Cost,Energy
11,3,-0.002756,6.927744e-08,5.622676e-08,7,2.000000e-08,1.799476e-01,1.000000e+00,2.578884e-03,3,3,2.000000e-03,0.000000e+00
11,4,-0.002836,7.087408e-08,5.737487e-08,2,2.000000e-08,3.017027e-01,1.000000e+00,9.428561e-04,3,3,2.000000e-03,0.000000e+00
11,5,-0.002854,7.124295e-08,5.790277e-08,2,2.000000e-08,2.433273e-01,1.000000e+00,1.427561e-03,3,3,2.000000e-03,0.000000e+00
11,7,-0.002752,6.920597e-08,5.578361e-08,7,2.000000e-08,2.703607e-01,1.000000e+00,1.193970e-03,3,3,2.000000e-03,0.000000e+00
11,9,-0.002746,6.907977e-08,5.573065e-08,7,2.000000e-08,2.460028e-01,1.000000e+00,1.437873e-03,3,3,2.000000e-03,0.000000e+00
12,1,-0.002778,6.972280e-08,5.633470e-08,1,2.000000e-08,2.583929e-01,1.000000e+00,1.295060e-03,3,3,2.000000e-03,0.000000e+00
12,2,-0.002748,6.913011e-08,5.579858e-08,3,2.000000e-08,2.407974e-01,1.000000e+00,1.498014e-03,3,3,2.000000e-03,0.000000e+00
12,4,-0.002827,7.069698e-08,5.735465e-08,7,2.000000e-08,2.439655e-01,1.000000e+00,1.430362e-03,3,3,2.000000e-03,0.000000e+00
12,6,-0.002708,6.832712e-08,5.509784e-08,1,2.000000e-08,2.143997e-01,1.000000e+00,1.892656e-03,3,3,2.000000e-03,0.000000e+00
12,8,-0.002761,6.937361e-08,5.598535e-08,2,2.000000e-08,2.584484e-01,1.000000e+00,1.300722e-03,3,3,2.000000e-03,0.000000e+00
12,9,-0.002733,6.883084e-08,5.548998e-08,6,2.000000e-08,2.435313e-01,1.000000e+00,1.471370e-03,3,3,2.000000e-03,0.000000e+00
13,2,-0.002714,6.844828e-08,5.508489e-08,5,2.000000e-08,2.504003e-01,1.000000e+00,1.401156e-03,3,3,2.000000e-03,0.000000e+00
13,4,-0.002805,7.025608e-08,5.673235e-08,5,2.000000e-08,3.132942e-01,1.000000e+00,8.848608e-04,3,3,2.000000e-03,0.000000e+00
13,5,-0.002814,7.044737e-08,5.726390e-08,7,2.000000e-08,2.043640e-01,1.000000e+00,2.016813e-03,3,3,2.000000e-03,0.000000e+00
13,6,-0.002692,6.800532e-08,5.465837e-08,6,2.000000e-08,2.453495e-01,1.000000e+00,1.466662e-03,3,3,2.000000e-03,0.000000e+00
13,8,-0.002756,6.927700e-08,5.595437e-08,6,2.000000e-08,2.382421e-01,1.000000e+00,1.526386e-03,3,3,2.000000e-03,0.000000e+00
13,9,-0.002727,6.869455e-08,5.531042e-08,8,2.000000e-08,2.570737e-01,1.000000e+00,1.326650e-03,3,3,2.000000e-03,0.000000e+00
13,10,-0.002765,6.945692e-08,5.608918e-08,6,2.000000e-08,2.517696e-01,1.000000e+00,1.367360e-03,3,3,2.000000e-03,0.000000e+00
14,3,-0.002666,6.748528e-08,5.423405e-08,1,2.000000e-08,2.195671e-01,1.000000e+00,1.829177e-03,3,3,2.000000e-03,0.000000e+00
14,4,-0.002765,6.946773e-08,5.601444e-08,8,2.000000e-08,2.821621e-01,1.000000e+00,1.094729e-03,3,3,2.000000e-03,0.000000e+00
14,7,-0.002676,6.768065e-08,5.429344e-08,6,2.000000e-08,2.580941e-01,1.000000e+00,1.335233e-03,3,3,2.000000e-03,0.000000e+00
